customer_id,run_id,num_baristas,arrival_time,service_start,service_end,waiting_time,service_time,system_time
46,1,3,149.8798,151.963,153.1604,2.0832,1.1974,3.2806
44,1,3,148.7845,148.7845,154.541,0.0,5.7564,5.7564
48,1,3,151.2605,154.541,156.4278,3.2805,1.8869,5.1674
47,1,3,150.9521,153.1604,158.6585,2.2083,5.4981,7.7065
50,1,3,157.9314,158.6585,159.6142,0.7271,0.9557,1.6829
45,1,3,149.8284,149.8284,160.0485,0.0,10.2201,10.2201
49,1,3,155.8349,156.4278,165.5889,0.5929,9.161,9.7539
51,1,3,163.879,163.879,166.66,0.0,2.781,2.781
52,1,3,166.052,166.052,167.8854,0.0,1.8334,1.8334
53,1,3,176.6278,176.6278,177.5027,0.0,0.8749,0.8749
54,1,3,177.6134,177.6134,179.9936,0.0,2.3802,2.3802
55,1,3,180.7625,180.7625,182.0241,0.0,1.2616,1.2616
56,1,3,181.1135,181.1135,184.4655,0.0,3.3521,3.3521
58,1,3,182.4801,182.4801,186.6986,0.0,4.2185,4.2185
57,1,3,182.4731,182.4731,189.5223,0.0,7.0492,7.0492
61,1,3,190.2145,190.2145,191.7532,0.0,1.5387,1.5387
60,1,3,188.436,188.436,191.7556,0.0,3.3195,3.3195
59,1,3,185.249,185.249,193.1755,0.0,7.9265,7.9265
62,1,3,193.6372,193.6372,193.8234,0.0,0.1861,0.1861
63,1,3,193.783,193.783,194.6265,0.0,0.8435,0.8435
64,1,3,198.3442,198.3442,198.9666,0.0,0.6224,0.6224
66,1,3,204.9679,204.9679,206.0611,0.0,1.0932,1.0932
65,1,3,200.7595,200.7595,208.2523,0.0,7.4928,7.4928
67,1,3,205.7133,205.7133,209.4309,0.0,3.7176,3.7176
68,1,3,210.4232,210.4232,210.5323,0.0,0.1091,0.1091
70,1,3,210.8223,210.8223,211.9536,0.0,1.1313,1.1313
71,1,3,213.5826,213.5826,216.243,0.0,2.6604,2.6604
72,1,3,218.8999,218.8999,219.6998,0.0,0.7999,0.7999
73,1,3,219.8133,219.8133,220.9737,0.0,1.1604,1.1604
74,1,3,221.5539,221.5539,222.6773,0.0,1.1234,1.1234
75,1,3,223.2568,223.2568,223.8111,0.0,0.5543,0.5543
69,1,3,210.7995,210.7995,227.527,0.0,16.7275,16.7275
76,1,3,229.0236,229.0236,231.6944,0.0,2.6708,2.6708
78,1,3,230.1336,230.1336,231.8224,0.0,1.6888,1.6888
79,1,3,231.3981,231.6944,232.7726,0.2963,1.0782,1.3745
80,1,3,233.2183,233.2183,235.1809,0.0,1.9626,1.9626
81,1,3,233.79,233.79,240.9387,0.0,7.1487,7.1487
77,1,3,229.0384,229.0384,241.4274,0.0,12.3889,12.3889
82,1,3,235.3054,235.3054,243.7024,0.0,8.397,8.397
84,1,3,238.39,241.4274,244.3624,3.0374,2.935,5.9724
85,1,3,247.8277,247.8277,247.8423,0.0,0.0145,0.0145
83,1,3,235.5451,240.9387,249.4506,5.3936,8.5119,13.9055
86,1,3,252.7132,252.7132,254.6646,0.0,1.9513,1.9513
87,1,3,257.2412,257.2412,257.387,0.0,0.1458,0.1458
89,1,3,258.489,258.489,258.7341,0.0,0.2451,0.2451
